org_sujo;org_detalhe_sujo;id_org_dupla;org_detalhe_limpo;org_limpo;id_org_unica
Ministério do Meio Ambiente;Secretaria de Extrativismo e Desenvolvimento Rural Sustentável;2843;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Secretaria de Articulação Institucional e Cidadania Ambiental;2844;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Diretoria de Florestas;2849;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Diretoria de Conservação da Biodiversidade;2850;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Diretoria de Patrimônio Genético;2851;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;"Diretoria de Desenvolvimento Rural e Combate à Desertificação; Secretaria de Desenvolvimento Rural Sustentável e Combate à Desertificação";2852;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Coordenação Geral de Patrimônio Genético;2860;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Projeto de Biodiversidade para Alimentação e Agricultura;2863;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Assessoria de Comunicações;2864;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;"Assessoria de Comunicações; Relações públicas";2867;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Serviço Florestal Brasileiro;2878;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Programas;2879;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Departamento de Conservação e Manejo de Espécies;2902;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Departamento de Patrimônio Genético;2903;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Departamento de Apoio ao Conselho do Patrimônio Genético;2904;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Departamento de Conservação de Ecossistemas;2905;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Conselho Nacional de Patrimônio Genético;2906;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Assessoria de Imprensa;2908;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente, dos Recursos Hídricos e da Amazônia Legal;Coordenação geral de Diversidade Biológica;2941;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Programa de Diversidade Biológica;2942;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Gerência de Recursos Genéticos;2945;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Departamento de Conservação de Ecossistemas;2907;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;"Secretaria de Qualidade Ambiental nos Assentamentos Humanos; Programa de Gerenciamento Ambiental Territorial";2986;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;"Secretaria de Qualidade Ambiental nos Assentamentos Humanos; Geografia, Gerenciamento Costeiro e Marinho";2988;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Secretaria de Qualidade Ambiental e Mudança Climática;3000;NA;Ministério do Meio Ambiente;442
